,var_latitude,var_longitude,var_value,matched_station_name,matched_station_latitude,matched_station_longitude,temp,distance
355,43.111111111111114,144.32323232323233,1.7085010795066775,むつ,41.28333333333333,141.21,26.2,3.610122865410099
356,38.22222222222222,139.59595959595958,1.7064684018564005,村上,38.22666666666667,139.47833333333332,31.8,0.11771019813865584
357,35.33333333333333,134.08080808080808,1.7047120174329393,虫明,34.681666666666665,134.20666666666668,31.8,0.6637091441879989
358,32.666666666666664,130.40404040404042,1.7043487241975164,雲仙岳,32.736666666666665,130.26166666666666,26.7,0.15865144529367603
359,31.555555555555557,130.40404040404042,1.699166647671118,加世田,31.415,130.325,28.7,0.1612552314450774
360,33.111111111111114,130.92929292929293,1.6970932271041967,益城,32.836666666666666,130.855,32.1,0.2843223389558887
361,34.666666666666664,136.96969696969697,1.696902206217637,南木曽,35.61,137.62,31.3,1.1457625447705524
362,33.33333333333333,131.45454545454547,1.6964549198730672,杵築,33.416666666666664,131.59666666666666,30.4,0.1647509738339746
363,35.111111111111114,137.23232323232324,1.696221301525511,河合,36.305,137.1,33.2,1.2011994492276497
364,35.55555555555556,137.4949494949495,1.6951152681466195,南砺高宮,36.545,136.87166666666667,31.1,1.169393771436393
365,44.0,141.95959595959596,1.6949742292006342,奥尻,42.248333333333335,139.55666666666667,24.3,2.973618216571984
366,44.0,142.22222222222223,1.6935175063883068,松前,41.42333333333333,140.08666666666667,24.9,3.346611516440968
367,35.33333333333333,140.12121212121212,1.686430475142115,銚子,35.73833333333333,140.85666666666663,29.3,0.8395941807978953
368,37.55555555555556,140.9090909090909,1.682541765858914,相馬,37.78333333333333,140.925,27.1,0.22833268540210203
369,33.33333333333333,131.7171717171717,1.67511887529341,瀬戸,33.446666666666665,132.25666666666666,31.6,0.5512705732895649
370,36.44444444444444,140.64646464646464,1.6636182635853765,笠間,36.395,140.24,30.5,0.40946094064273547
371,38.44444444444444,141.17171717171718,1.6606470817525771,福島,37.76833333333333,140.435,31.8,0.9999392109877754
372,36.888888888888886,138.8080808080808,1.6566670298948882,湯沢,36.94166666666667,138.81,31.9,0.052812660648597305
373,38.0,140.3838383838384,1.6442507584673876,高畠,38.00333333333333,140.20666666666668,31.9,0.17720307129586102
374,34.888888888888886,136.1818181818182,1.6416561072967308,越廼,36.01166666666666,135.99,35.0,1.139045281429863
375,36.44444444444444,138.8080808080808,1.6373521997919305,沼田,36.66833333333334,139.02166666666668,28.8,0.30942713771705255
376,32.666666666666664,131.7171717171717,1.628866201363999,宿毛,32.92,132.695,30.3,1.0101118395884143
377,35.55555555555556,136.7070707070707,1.628794921621593,加賀中津原,36.26166666666666,136.39666666666668,32.1,0.7713258517213741
378,40.0,140.9090909090909,1.628438811454398,湯瀬,40.12,140.84,27.9,0.13846860192479313
379,36.666666666666664,140.12121212121212,1.6184033223812002,大田原,36.84,140.035,29.3,0.193589706049524
380,36.0,139.59595959595958,1.616446805301384,鹿沼,36.59166666666667,139.735,29.6,0.6077842367157711
381,37.77777777777778,139.33333333333334,1.6156091763323641,新潟,37.888333333333335,139.04833333333335,30.6,0.305691888777239
382,33.33333333333333,131.1919191919192,1.612897548938636,黒木,33.225,130.645,32.5,0.5575452569977135
383,42.666666666666664,140.12121212121212,1.6121608417576134,米岡,42.071666666666665,139.43166666666667,23.9,0.9107677716543848
384,43.77777777777777,143.53535353535352,1.6100537250460185,盛岡,39.69833333333333,141.165,28.6,4.71809737689586
